set,kind,serial,handle,aka,tier,code,figure_sha256,jersey_mask_sha256,app_front,pdf,review
34-2026-1,player,34-DRAFT-01,Cleo,,OG,4A738A,ec52429dd7dfd8240b36593b9ceaeb716c55e5526acfe4283dc774946dcf53e6,8541f2f06ee185ea4aec9dd888b143b3bfeb94f11d99e7db5b6a9100c03ad232,/media/card-34-DRAFT-01.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-02,Shipp,,55+,F5EED2,4bcc571df7f505422fb925deed37b1210b412daea210390508f2a73b28a208cd,fb04bb40b29ccd1c0f78cf81252a4e75abca50c6581f011b99309df603c0bac7,/media/card-34-DRAFT-02.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-03,Rufus,,55+,60D5C9,11e8d9299a56a32ed5ba821bce75b29acdf24f13e624732e9988137ca16c45c8,45c40066e772b355401431a4f5c514bfb4dbb367e32d27bc75349c6c26130146,/media/card-34-DRAFT-03.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-04,E-Dub,,55+,BA67DF,3aa55d719bfc60c2982670540d8cf7d36416c17edbe24dea823088c41fb31e4f,28ea97a0bd38fb0b812796cb2488941f0d854eaf1c4ae560ae346a3a58b10730,/media/card-34-DRAFT-04.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-05,Anthony,,55+,2ACC0A,2913f5227491a69690b5b051ab5243bdae946a0e271a6b273920e6856f17dca8,2ea65d2c7318b94ec4596d20ff426a35a1a04d139e04efffee5faa0521b19112,/media/card-34-DRAFT-05.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-06,Kiwi,Kenny,55+,7D1233,5b6517c4916fb8300dd4d3b9a8192a122e1e780add73e9e32fc6f1fb3af75872,17f79d6f988551888dbbca6ea13bb3703412ceed0baea54cdca606ae5c84c1bb,/media/card-34-DRAFT-06.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-07,MP3,,55+,BD26B9,9b2a476434da869434d08f2298f1e4d0ce1fb5ac1292e2a958043007c5d03959,e5a2da9e8a05d697f0235c7db2ec6e2483dbf5ff29c5f30328825cc2dd4805fb,/media/card-34-DRAFT-07.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-08,Black,B1,55+,00AA3B,925c3a0fd0c0693c5404e021f11307bbca53206400df7dc32c1078184ea87091,525ed09ccb8c01ce6ffab56678713e7b0264cc02f2ec53a70d26fb71e900a1a6,/media/card-34-DRAFT-08.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-09,Rocket Man,Brandon,55+,4250D5,8b9b8cdec3970544de7ac83fed4a1d614ec3ed7b1003804bbd62bc2a76f6f681,d8c8fb5580cfd1bf16d3f33c51490d339bab1a7e515f369b68273c3e885e881e,/media/card-34-DRAFT-09.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-10,The Nightmare,Donnie,55+,D47A4F,4dc7c0baf4f39cb914514677bf176825a7fceebd4b49f41d5558954fd8edd595,2e74f5a74ffb23f7cbd639d838bd9b901c43b383f96db3e22a899e0ab51467ac,/media/card-34-DRAFT-10.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-11,Bo,Old Bo,55+,D8E2F0,80b2bd1d46d4a695a1704581aa3459c1dfdf6e8bb41dd1351f0ccdfddc6c0335,fae0ac4966077bf01803adc9d011f005074c4fba83aff64827da363df5b0cc5e,/media/card-34-DRAFT-11.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-12,Kobe,,55+,DD401E,e39cb2e8de20616850db0a897ab6324f9386e96b22d51d027c6e0c90a7a13df7,6ed9aef7d457122af34c7fcbef02656dfaa37f2c4dbb3b57c4314fad1e868e3b,/media/card-34-DRAFT-12.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-13,KennyG,The Snake,55+,609BDE,70cf31d21e6f12ba7faeb269397c4bd563482432500b540e0fb52abd2d04a77e,4750a213d1d1389b83c903409f7fe7f00ccca7cca9bc6736313f4635cd05e81f,/media/card-34-DRAFT-13.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-14,Reggie,,OG,B0C665,775de992175c8e221a619beec5c962995b7321f2c541cedbb73ee60aa1f4c6a4,d5933bab74289ecb32d756d3ac5767042048b38fc80664d5c6a13d05b2de5168,/media/card-34-DRAFT-14.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-15,McGhee,,OG,F86850,90029bf877658de8c4f179d3f4a02f20d7ab065121624c816406c7611c184ed7,6727f2ef00d8e15407d598856f6bc53a827405b3fdb51b15199fe14002ff047b,/media/card-34-DRAFT-15.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-16,John,,55+,442596,c177832b6458aaae5eac2b7f0d365a4deb3850dfbbefbc413f35a59a55d701cd,18d11583a506e5b3f163a7c3c08e166dbafa2fc62dc4f37d800050dbbf2ed64e,/media/card-34-DRAFT-16.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-17,Rick,,55+,60BA8F,80f94679fa1e4766a4a9a427b019045d937924ab346c01c7fff2fac9d9c98aea,07e9f1804c471f326c31ea261122a15cdcda5eb9edaa97ccb9f51151a3363a3f,/media/card-34-DRAFT-17.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-18,Frank,,OG,A93425,28a8390f70df2c3f53d33160a4aada9584879d52afff654527aa9390729571eb,e3a146d5ce9d4fa3043dd9b973f63dce4a8c3538ec0277b49c13099afb4437fc,/media/card-34-DRAFT-18.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-19,Chef,,55+,FEC178,24da7ac04dcee0b0291f2ce3bb4b8f097291970fba695d394e32d559fea719f4,6af6047a6ecdd6668b0661201a94d62f192a0e6949251ac935037b4b436353e4,/media/card-34-DRAFT-19.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-20,Zelle,,55+,DC0080,3aaa4fb2ae697d41a7884102dbd179afce0ccb52b3b3f4f699af4b49e4d3d0ef,50af39f4a50c6eeefede13241e95faec5edfd1802256f863c71fc601dbac127f,/media/card-34-DRAFT-20.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-21,Sheldon,,55+,C9A4B7,5d993a027ffb3c593eb3fa0a9a36d180c97a7f906c13151c32b51f989aa26c30,d8f429c30fc7e5f937476f06d928d44fea347e627a677814c4520a74daddbb13,/media/card-34-DRAFT-21.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-22,Rodney,,55+,FFC220,d6b34f409e8989e25d49578e12a62ceed54c3e9ae56e1c0de2f00af7192d3164,773be665a370b42267b29423f8f4271613b0204522b5ac0e8d9ccf959d7bed78,/media/card-34-DRAFT-22.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-23,Trey-Up,Nick,55+,9A254A,4b79a8a91ac7d4b8a11964ae73fd756ce34968045edda7da1452662053a98856,8a6b34031ad5960a579ca0b7baaeffb91e3eabe3052ecd2624fae8f5f39643ea,/media/card-34-DRAFT-23-v2.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-24,Jen,,55+,62BE9E,b6fc064cbda9a59cb3e1b4312755c427e3613d9b018259783eff7ec170f89cf2,063e1f027897a2fdd519f1a9fc15a62bb738d01415afcd9fd0d1395afce2a894,/media/card-34-DRAFT-24.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-25,Kevin,,55+,E33944,da22c4f1b018d5497d9e68091c815468d923985aeeda0629df7a925b45fff25b,fe5e7a44dda61a2ccaa3f12eb451aac75ea0f10d8a903896079dfaa2352b56e0,/media/card-34-DRAFT-25.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-26,Jennifer,,55+,D0700B,08401efa418259922568c7e1f4e48de3e993ad264088066bf3ff0690908e98e7,e5a57c46f9308ac8afaa70e61ad3180a22babd763a6958f5fa97739fe63d2fda,/media/card-34-DRAFT-26.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-27,AJ,,55+,25AFEC,e3c4b913f7fafa33004646ea154e6bcb254bac7b19397c1422c6b181152e1b34,21b32876aab111d36db175a12219ea62b2a4171ede3c94c90d5f273dcf6534be,/media/card-art/54b48cde97a05b450c8a6b6b55aa20923f14f308881a6a54d875668170bbccbe.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-28,Ray,,55+,CD6714,9735ba05b56f0ca2fca5f0cfaf0e23ae371d168c8a1edb5aa7a3d6c6b040e8cc,aa9bccd5c51733ebc20cd002b75d39684f790fac93ed5d0fff8bc1be5cbe44d1,/media/card-34-DRAFT-28.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-29,Jerry,,55+,9064B1,418a8c71fcbd084b3ac49a59c326636ef0521b8bdfe912bd6b211294fa26058d,3248896ed9eec665265ebde9c662f3bdd70d62306aa0648fab5f5da6e634b664,/media/card-34-DRAFT-29.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-31,Tim,,55+,FF735B,16a745dc1f50aecb217b6a97634ef0157ba4c6a3eb1018196ac0be7654765d70,64a4e7622b69baa3d1c0ac5393a8013729a496e8dfc6dfc435f7543146056431,/media/card-34-DRAFT-31.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-32,Marko,,55+,5D14AD,da384512375dc390177315365ee536575676d4d290272a0b0c1cd84479ab0362,4e189c5085999a26d0f51cef2583ee4096ff1e25425e8b605c0b8d9f4980d5fc,/media/card-34-DRAFT-32.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-33,Lexi,,Rookie,1935AA,3c9ad36cdcb9ef4af7087e2abc77f415d0e9ebeecde5d66c4fc2c4c09d452ffb,56fe79f6648bc095e8a91fb11fb4cd4e8448642c5eb4f6dee3e005384ed9d5bc,/media/card-art/60cc6761d387bd1164500dd27a24ae4f47debb98418a9aca093e16224a42fb3f.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-34,KT,,55+,E35270,86f5e3b137c3a4827fc3e5a3692a3dc8e56a428f2a655e9753acecb76817d8d1,2fb9ed2c2a40e57ca3d72524b6b3c028953a2d909dc36c8b80cb541cca289a3c,/media/card-art/90e5269a89317981e2f443fc67d934190298d4019021852c4654af088dd093f7.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,player,34-DRAFT-35,Phil,,55+,E829B4,1e0f2b6f4dbd86ffae8cdcd55f8fcb4264fe1ccb8e9ab6c7d69bf097c043a821,479d682882561c911e6898b303c7bf622873b05d0d9cd1553adfc7ea4c285364,/media/card-art/f4afe20367a5b83fad9143274bc20cff1a1dd4123283c2b38e54f2eb79fbba8f.png,cards_34-2026-1_set1.pdf,card-review-42
34-2026-1,guest,34-GUEST-01,Guest 01,,Guest,16D526,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-02,Guest 02,,Guest,F93CE7,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-03,Guest 03,,Guest,707A28,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-04,Guest 04,,Guest,9BA843,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-05,Guest 05,,Guest,A56CD8,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-06,Guest 06,,Guest,C31C3F,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-07,Guest 07,,Guest,CADBB3,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-08,Guest 08,,Guest,7224A5,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-09,Guest 09,,Guest,14557E,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-10,Guest 10,,Guest,9A2AED,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-11,Guest 11,,Guest,0EAE8F,,,,cards_34-2026-1_guest.pdf,card-review-43
34-2026-1,guest,34-GUEST-12,Guest 12,,Guest,74385E,,,,cards_34-2026-1_guest.pdf,card-review-43
